item,freq
是,2739
有,1294
也,1273
将,1092
中国,970
都,832
不,809
就,808
到,690
人,671
会,622
说,618
公司,613
市场,568
责任编辑,550
要,548
还,534
发展,509
北京,498
时,478
没有,465
大,461
进行,437
企业,428
已经,415
记者,402
搜狐,378
让,364
时间,355
问题,350
工作,348
更,342
经济,335
比赛,334
最,322
表示,319
可能,309
能,300
项目,296
国家,289
做,289
新,287
国际,275
又,274
就是,273
成为,271
来,258
好,253
开始,250
来源,248
已,245
美国,243
认为,242
价格,239
高,238
出现,236
情况,232
投资,230
灾区,229
产品,225
则,220
需要,218
地震,217
合作,215
可,215
影响,211
城市,210
分,209
很,208
作为,201
活动,201
社会,196
非常,195
看,192
证券,189
去,189
却,186
世界,185
建设,185
再,182
上海,180
方面,175
提供,171
媒体,169
石油,169
小区,165
服务,164
要求,162
中心,162
增长,162
使,162
生活,160
出,159
开发,159
不能,158
进入,157
使用,155
才,154
发生,152
只,152
有关,151
希望,151
资金,151
资讯,150
内容,150
投资者,149
小,149
代表,148
地区,148
直销,145
一直,141
内,141
重要,140
应该,140
进一步,140
群众,140
区域,139
机构,139
最大,139
达到,138
管理,138
全国,136
品牌,136
实现,135
香港,135
包括,135
获得,134
继续,134
了解,134
还有,134
部分,134
面积,134
人员,133
大家,132
发现,132
风险,130
现场,130
安全,130
传递,130
超过,129
一定,129
不断,129
不会,129
能够,128
相关,127
信息,127
四川,127
参加,127
称,126
研究,126
约,126
部门,126
销售,125
稳定,125
时候,125
生产,125
上涨,125
比较,124
想,122
看到,122
设计,122
如,122
拥有,121
达,120
对此,119
文化,119
小时,118
国债,118
集团,117
甚至,117
评论,117
土地,116
人民币,115
报道,114
电影,114
得到,114
体育,113
银行,113
全球,113
建议,112
曾,112
人士,112
技术,112
方式,112
最终,111
建筑,111
球员,111
专家,110
调整,110
存在,110
必须,109
介绍,109
环境,109
开发商,109
提高,109
关注,108
起,108
选择,108
政府,108
表现,107
像,107
直接,107
观点,106
基本,106
不同,106
均,106
历史,105
特别,105
太,105
点击,105
显示,104
增加,103
行业,103
直播,103
社区,103
全部,102
政策,102
上市,102
计划,102
关系,102
商学院,102
欧洲杯,101
具有,100
价值,100
空间,99
带来,99
仅,98
没,98
人们,97
占,97
系统,97
产业,96
无法,96
能源,96
造成,96
球队,96
形成,96
医院,96
孩子,95
能力,94
消费者,94
地方,93
压力,93
知道,93
完成,93
提出,93
判断,92
民族,92
房价,92
持续,92
股份,92
考虑,91
消息,91
人民,91
资源,90
接受,90
个人,89
举行,89
分别,89
过程,89
地产,89
需求,89
有限公司,89
股东,89
报告,88
学校,88
站,88
基金,88
系,87
导致,87
业务,87
原因,86
正,86
是否,85
透露,84
机会,84
严重,84
湖人,84
结束,84
图,84
交通,84
谨慎,83
取得,83
来自,83
决定,83
股权,83
成功,82
声明,82
请,82
很大,82
联系,82
月份,82
正式,82
利用,82
重点,81
新闻,81
女排,81
控制,81
支持,81
住宅,81
户型,81
意大利,81
共,80
手机,80
路,80
分析,80
汽车,80
目标,79
不少,79
体育讯,79
出来,79
结果,79
定位,79
优,79
更加,78
学生,78
自然,78
入市,77
用户,77
作用,77
北生,77
经营,76
近,76
受,76
德国,76
发布,76
打,76
规划,76
一般,76
过客,76
区,76
冠军,75
状态,75
产生,75
解决,75
市,75
开发区,74
立场,74
优势,74
日本,74
对手,74
告诉,74
面临,74
准备,74
预计,74
便,74
担,73
带,73
决赛,73
其实,73
位置,73
帮助,73
购买,73
应,73
球迷,73
吃,73
据此,72
明显,72
队,72
制度,72
深圳,72
学院,72
股市,72
成本,72
编号,72
中式,72
调查,71
大量,71
位于,71
采用,71
旅游,71
车型,71
图片,70
居民,70
下跌,70
金融,70
地铁,70
传统,70
省,70
因素,69
同样,69
仍,69
注意,69
成都,69
推出,69
水,69
本频道,68
转引,68
规模,68
完全,68
战略,68
贷款,68
重组,68
说明,68
广告,68
火炬,68
伤员,68
水平,67
真正,67
伦敦,67
成,67
集中,67
东西,67
数据,67
加强,67
当然,67
新华网,67
起来,67
建立,67
确定,67
政治,67
药品,67
消费,66
队员,66
曾经,66
创新,66
网络,66
受到,66
帐篷,66
基地,65
收入,65
功能,65
组织,65
有效,65
作者,65
时代,65
模式,65
保持,64
面对,64
教育,64
标题,64
湖,64
处于,64
程度,64
爱,64
机场,64
规定,63
执行,63
娱乐,63
喜欢,63
线,63
建筑面积,63
新疆,63
公布,62
尤其,62
走,62
再次,62
开展,62
南山,62
整体,61
指出,61
朋友,61
欧洲,61
采访,61
形象,61
肯定,61
核心,61
双方,61
居住,61
基础,61
统一,61
上升,60
损失,60
成绩,60
范围,60
广州,60
角色,60
装修,60
相对,60
全面,60
物业管理,60
共同,59
行为,59
难,59
坚持,59
开,59
